id, nombre, edad, departamento, email
1, Juan Pérez, 30, Ventas, juan@example.com
2, María García, 28, Marketing, maria@example.com
3, Carlos López, 35, Recursos Humanos, carlos@example.com
4, Ana Martínez, 32, Finanzas, ana@example.com
5, Pablo Rodríguez, 29, Desarrollo, pablo@example.com
6, Laura Fernández, 27, Soporte Técnico, laura@example.com
7, Diego González, 31, Investigación y Desarrollo, diego@example.com
8, Sofía Díaz, 33, Ventas, sofia@example.com
9, Javier Ruiz, 26, Marketing, javier@example.com
10, Marta Sánchez, 34, Recursos Humanos, marta@example.com
